email,label
Your account has been locked. Verify immediately!,spam
URGENT: Please find attached the report you requested. Please check immediately.,ham
URGENT: Meeting rescheduled to 2 PM. Please confirm.,ham
URGENT: Let’s finalize the design in tomorrow's review. Please check immediately.,ham
Please find attached the report you requested.,ham
URGENT: Let’s finalize the design in tomorrow's review.,ham
"URGENT: Congratulations, you've been selected for a prize!",spam
URGENT: Can we reschedule our call to next week? Please check immediately.,ham
"You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
URGENT: You have an unread message. Tap to view it!,spam
Get cheap medicines without prescription now!,spam
Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
Lunch meeting scheduled for 1 PM tomorrow.,ham
URGENT: Let’s finalize the design in tomorrow's review. Please check immediately.,ham
URGENT: Lunch meeting scheduled for 1 PM tomorrow.,ham
Final reminder: Team meeting at 4 PM today.,ham
URGENT: Get cheap medicines without prescription now! Please check immediately.,spam
URGENT: Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
URGENT: Please find attached the report you requested.,ham
URGENT: Your Amazon order has been shipped.,ham
Your account has been locked. Verify immediately!,spam
Win a free iPhone now by taping this link! Please check immediately.,spam
Can we reschedule our call to next week?,ham
Win a free iPhone now by clicking this link! Please check immediately.,spam
Can we reschedule our call to next week?,ham
Your Amazon order has been shipped. Please check immediately.,ham
URGENT: Can we reschedule our call to next week?,ham
Project update: Deadline extended to next Friday. Please check immediately.,ham
Your account has been locked. Verify immediately! Please check immediately.,spam
URGENT: Earn money quickly from home. Click here to learn more! Please check immediately.,spam
You have been chosen for a special offer! Please check immediately.,spam
Client feedback has been shared in the document.,ham
You have an unread message. Click to view it! Please check immediately.,spam
URGENT: Your account has been locked. Verify immediately!,spam
"URGENT: Congratulations, you've been selected for a prize!",spam
Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
Earn money quickly from home. Tap here to learn more!,spam
URGENT: Can we reschedule our call to next week?,ham
URGENT: HR: Please submit your timesheets by EOD.,ham
Get cheap medicines without prescription now! Please check immediately.,spam
Client feedback has been shared in the document.,ham
This is not a scam! Tap here to get your reward. Please check immediately.,spam
URGENT: Let’s finalize the design in tomorrow's review. Please check immediately.,ham
This is not a scam! Tap here to get your reward.,spam
You have an unread message. Tap to view it!,spam
Your Amazon order has been shipped.,ham
Let’s finalize the design in tomorrow's review. Please check immediately.,ham
URGENT: Can we reschedule our call to next week? Please check immediately.,ham
URGENT: Can we reschedule our call to next week?,ham
URGENT: Client feedback has been shared in the document. Please check immediately.,ham
"You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
URGENT: Let’s finalize the design in tomorrow's review. Please check immediately.,ham
URGENT: Please find attached the report you requested.,ham
URGENT: Win a free iPhone now by clicking this link! Please check immediately.,spam
Project update: Deadline extended to next Friday.,ham
URGENT: Meeting rescheduled to 2 PM. Please confirm.,ham
URGENT: You have been chosen for a special offer! Please check immediately.,spam
Project update: Deadline extended to next Friday. Please check immediately.,ham
URGENT: Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
URGENT: Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
URGENT: Earn money quickly from home. Tap here to learn more! Please check immediately.,spam
This is not a scam! Tap here to get your reward.,spam
Lunch meeting scheduled for 1 PM tomorrow.,ham
URGENT: Lunch meeting scheduled for 1 PM tomorrow.,ham
You have been chosen for a special offer!,spam
URGENT: Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
URGENT: Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
URGENT: Client feedback has been shared in the document. Please check immediately.,ham
URGENT: Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
URGENT: Meeting rescheduled to 2 PM. Please confirm.,ham
URGENT: Project update: Deadline extended to next Friday. Please check immediately.,ham
URGENT: Get cheap medicines without prescription now!,spam
URGENT: You have been chosen for a special offer! Please check immediately.,spam
"You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
URGENT: HR: Please submit your timesheets by EOD.,ham
URGENT: Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
You have been chosen for a special offer! Please check immediately.,spam
URGENT: Get cheap medicines without prescription now!,spam
Your account has been locked. Verify immediately!,spam
Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
You have been chosen for a special offer!,spam
"URGENT: You have won $10,000 in our lottery. Claim now!",spam
URGENT: This is not a scam! Tap here to get your reward.,spam
Meeting rescheduled to 2 PM. Please confirm.,ham
Get cheap medicines without prescription now! Please check immediately.,spam
You have an unread message. Click to view it!,spam
URGENT: This is not a scam! Tap here to get your reward.,spam
Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
URGENT: You have been chosen for a special offer! Please check immediately.,spam
Final reminder: Team meeting at 4 PM today.,ham
URGENT: Please find attached the report you requested.,ham
URGENT: Get cheap medicines without prescription now!,spam
"You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
Win a free iPhone now by taping this link! Please check immediately.,spam
URGENT: Your Amazon order has been shipped. Please check immediately.,ham
URGENT: Earn money quickly from home. Click here to learn more! Please check immediately.,spam
Earn money quickly from home. Tap here to learn more! Please check immediately.,spam
URGENT: Your account has been locked. Verify immediately!,spam
URGENT: You have an unread message. Tap to view it!,spam
URGENT: Earn money quickly from home. Tap here to learn more! Please check immediately.,spam
URGENT: Win a free iPhone now by taping this link! Please check immediately.,spam
URGENT: You have been chosen for a special offer! Please check immediately.,spam
HR: Please submit your timesheets by EOD.,ham
Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
Final reminder: Team meeting at 4 PM today.,ham
Get cheap medicines without prescription now!,spam
Your account has been locked. Verify immediately!,spam
Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
"URGENT: You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
URGENT: Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
URGENT: Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
Let’s finalize the design in tomorrow's review. Please check immediately.,ham
URGENT: Client feedback has been shared in the document.,ham
URGENT: Your account has been locked. Verify immediately!,spam
Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
"Congratulations, you've been selected for a prize!",spam
"Congratulations, you've been selected for a prize! Please check immediately.",spam
Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
Meeting rescheduled to 2 PM. Please confirm.,ham
Your account has been locked. Verify immediately!,spam
URGENT: Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
URGENT: Please find attached the report you requested. Please check immediately.,ham
Your Amazon order has been shipped. Please check immediately.,ham
"URGENT: You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
URGENT: Please find attached the report you requested. Please check immediately.,ham
Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
Please find attached the report you requested.,ham
Your account has been locked. Verify immediately! Please check immediately.,spam
URGENT: Project update: Deadline extended to next Friday.,ham
Your account has been locked. Verify immediately!,spam
URGENT: Your account has been locked. Verify immediately!,spam
HR: Please submit your timesheets by EOD. Please check immediately.,ham
Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
URGENT: Meeting rescheduled to 2 PM. Please confirm.,ham
"URGENT: You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
Get cheap medicines without prescription now! Please check immediately.,spam
Earn money quickly from home. Click here to learn more! Please check immediately.,spam
You have an unread message. Tap to view it! Please check immediately.,spam
Exclusive deal for you! Lowest prices ever!,spam
Your Amazon order has been shipped. Please check immediately.,ham
URGENT: Get cheap medicines without prescription now! Please check immediately.,spam
"You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
Get cheap medicines without prescription now! Please check immediately.,spam
URGENT: You have been chosen for a special offer! Please check immediately.,spam
URGENT: Let’s finalize the design in tomorrow's review. Please check immediately.,ham
Project update: Deadline extended to next Friday.,ham
URGENT: Your Amazon order has been shipped.,ham
URGENT: Project update: Deadline extended to next Friday. Please check immediately.,ham
URGENT: Earn money quickly from home. Tap here to learn more! Please check immediately.,spam
Let’s finalize the design in tomorrow's review.,ham
Can we reschedule our call to next week? Please check immediately.,ham
"You have won $10,000 in our lottery. Claim now!",spam
URGENT: Your Amazon order has been shipped.,ham
This is not a scam! Click here to get your reward.,spam
Please find attached the report you requested.,ham
URGENT: Final reminder: Team meeting at 4 PM today.,ham
URGENT: Please find attached the report you requested. Please check immediately.,ham
URGENT: Your account has been locked. Verify immediately! Please check immediately.,spam
Can we reschedule our call to next week? Please check immediately.,ham
URGENT: Meeting rescheduled to 2 PM. Please confirm.,ham
"Congratulations, you've been selected for a prize!",spam
URGENT: Win a free iPhone now by taping this link!,spam
"Congratulations, you've been selected for a prize!",spam
Earn money quickly from home. Tap here to learn more! Please check immediately.,spam
URGENT: Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
URGENT: Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
URGENT: You have an unread message. Click to view it! Please check immediately.,spam
URGENT: Client feedback has been shared in the document. Please check immediately.,ham
URGENT: Earn money quickly from home. Click here to learn more!,spam
"Congratulations, you've been selected for a prize! Please check immediately.",spam
URGENT: Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
URGENT: Get cheap medicines without prescription now!,spam
Client feedback has been shared in the document.,ham
URGENT: Your Amazon order has been shipped.,ham
URGENT: This is not a scam! Click here to get your reward. Please check immediately.,spam
"URGENT: You have won $10,000 in our lottery. Claim now!",spam
URGENT: Let’s finalize the design in tomorrow's review. Please check immediately.,ham
URGENT: HR: Please submit your timesheets by EOD. Please check immediately.,ham
Your account has been locked. Verify immediately! Please check immediately.,spam
Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
URGENT: Get cheap medicines without prescription now!,spam
Client feedback has been shared in the document. Please check immediately.,ham
This is not a scam! Click here to get your reward. Please check immediately.,spam
Win a free iPhone now by taping this link!,spam
URGENT: Project update: Deadline extended to next Friday.,ham
URGENT: Exclusive deal for you! Lowest prices ever!,spam
"URGENT: You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
URGENT: Your Amazon order has been shipped. Please check immediately.,ham
URGENT: Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
You have been chosen for a special offer!,spam
Client feedback has been shared in the document.,ham
URGENT: Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
URGENT: This is not a scam! Click here to get your reward. Please check immediately.,spam
URGENT: Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
Project update: Deadline extended to next Friday. Please check immediately.,ham
"URGENT: Congratulations, you've been selected for a prize! Please check immediately.",spam
Can we reschedule our call to next week? Please check immediately.,ham
URGENT: This is not a scam! Click here to get your reward.,spam
URGENT: Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
URGENT: Win a free iPhone now by taping this link!,spam
You have an unread message. Tap to view it! Please check immediately.,spam
Win a free iPhone now by taping this link!,spam
HR: Please submit your timesheets by EOD. Please check immediately.,ham
Meeting rescheduled to 2 PM. Please confirm.,ham
Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
URGENT: Please find attached the report you requested.,ham
HR: Please submit your timesheets by EOD. Please check immediately.,ham
URGENT: Please find attached the report you requested. Please check immediately.,ham
URGENT: You have been chosen for a special offer! Please check immediately.,spam
URGENT: Can we reschedule our call to next week? Please check immediately.,ham
URGENT: Let’s finalize the design in tomorrow's review.,ham
You have an unread message. Click to view it! Please check immediately.,spam
URGENT: Please find attached the report you requested. Please check immediately.,ham
URGENT: Exclusive deal for you! Lowest prices ever!,spam
Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
Client feedback has been shared in the document. Please check immediately.,ham
URGENT: Get cheap medicines without prescription now! Please check immediately.,spam
You have been chosen for a special offer!,spam
URGENT: Get cheap medicines without prescription now!,spam
Earn money quickly from home. Click here to learn more! Please check immediately.,spam
URGENT: Your Amazon order has been shipped. Please check immediately.,ham
Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
Earn money quickly from home. Click here to learn more! Please check immediately.,spam
Win a free iPhone now by clicking this link!,spam
"URGENT: Congratulations, you've been selected for a prize! Please check immediately.",spam
URGENT: Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
URGENT: Let’s finalize the design in tomorrow's review. Please check immediately.,ham
Lunch meeting scheduled for 1 PM tomorrow.,ham
URGENT: HR: Please submit your timesheets by EOD. Please check immediately.,ham
URGENT: Win a free iPhone now by taping this link!,spam
URGENT: You have been chosen for a special offer!,spam
This is not a scam! Tap here to get your reward. Please check immediately.,spam
Let’s finalize the design in tomorrow's review.,ham
Earn money quickly from home. Click here to learn more! Please check immediately.,spam
URGENT: Client feedback has been shared in the document. Please check immediately.,ham
URGENT: HR: Please submit your timesheets by EOD. Please check immediately.,ham
URGENT: HR: Please submit your timesheets by EOD.,ham
URGENT: Earn money quickly from home. Click here to learn more!,spam
URGENT: Client feedback has been shared in the document.,ham
URGENT: Earn money quickly from home. Tap here to learn more! Please check immediately.,spam
Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
URGENT: You have an unread message. Tap to view it!,spam
This is not a scam! Tap here to get your reward. Please check immediately.,spam
URGENT: Can we reschedule our call to next week? Please check immediately.,ham
URGENT: This is not a scam! Tap here to get your reward. Please check immediately.,spam
Please find attached the report you requested. Please check immediately.,ham
You have an unread message. Click to view it! Please check immediately.,spam
Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
"Congratulations, you've been selected for a prize!",spam
Your account has been locked. Verify immediately! Please check immediately.,spam
"You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
Can we reschedule our call to next week? Please check immediately.,ham
URGENT: Earn money quickly from home. Click here to learn more!,spam
"URGENT: Congratulations, you've been selected for a prize! Please check immediately.",spam
URGENT: You have an unread message. Tap to view it! Please check immediately.,spam
URGENT: Project update: Deadline extended to next Friday.,ham
Can we reschedule our call to next week? Please check immediately.,ham
URGENT: You have been chosen for a special offer! Please check immediately.,spam
Project update: Deadline extended to next Friday. Please check immediately.,ham
Let’s finalize the design in tomorrow's review. Please check immediately.,ham
Your Amazon order has been shipped.,ham
Your account has been locked. Verify immediately! Please check immediately.,spam
HR: Please submit your timesheets by EOD.,ham
URGENT: You have been chosen for a special offer!,spam
Please find attached the report you requested.,ham
"URGENT: Congratulations, you've been selected for a prize!",spam
Your account has been locked. Verify immediately! Please check immediately.,spam
URGENT: Your Amazon order has been shipped. Please check immediately.,ham
"You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
"URGENT: Congratulations, you've been selected for a prize! Please check immediately.",spam
Meeting rescheduled to 2 PM. Please confirm.,ham
Client feedback has been shared in the document.,ham
"URGENT: You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
URGENT: HR: Please submit your timesheets by EOD.,ham
"URGENT: You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
"Congratulations, you've been selected for a prize! Please check immediately.",spam
Please find attached the report you requested.,ham
Lunch meeting scheduled for 1 PM tomorrow.,ham
Can we reschedule our call to next week?,ham
URGENT: Get cheap medicines without prescription now! Please check immediately.,spam
URGENT: Win a free iPhone now by clicking this link!,spam
URGENT: Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
Project update: Deadline extended to next Friday. Please check immediately.,ham
HR: Please submit your timesheets by EOD. Please check immediately.,ham
Let’s finalize the design in tomorrow's review. Please check immediately.,ham
"Congratulations, you've been selected for a prize!",spam
URGENT: You have an unread message. Tap to view it!,spam
Get cheap medicines without prescription now! Please check immediately.,spam
URGENT: Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
URGENT: Win a free iPhone now by clicking this link!,spam
URGENT: Can we reschedule our call to next week?,ham
"URGENT: You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
HR: Please submit your timesheets by EOD.,ham
You have been chosen for a special offer!,spam
Win a free iPhone now by clicking this link! Please check immediately.,spam
"Congratulations, you've been selected for a prize! Please check immediately.",spam
URGENT: Your Amazon order has been shipped.,ham
You have an unread message. Tap to view it!,spam
Let’s finalize the design in tomorrow's review.,ham
Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
URGENT: Project update: Deadline extended to next Friday. Please check immediately.,ham
URGENT: Get cheap medicines without prescription now! Please check immediately.,spam
URGENT: Can we reschedule our call to next week? Please check immediately.,ham
URGENT: Can we reschedule our call to next week? Please check immediately.,ham
URGENT: This is not a scam! Tap here to get your reward.,spam
Earn money quickly from home. Tap here to learn more!,spam
You have an unread message. Tap to view it!,spam
URGENT: Lunch meeting scheduled for 1 PM tomorrow.,ham
URGENT: HR: Please submit your timesheets by EOD.,ham
Let’s finalize the design in tomorrow's review.,ham
"Congratulations, you've been selected for a prize!",spam
This is not a scam! Tap here to get your reward.,spam
Win a free iPhone now by taping this link!,spam
URGENT: Your Amazon order has been shipped.,ham
URGENT: Project update: Deadline extended to next Friday.,ham
URGENT: You have been chosen for a special offer!,spam
URGENT: Project update: Deadline extended to next Friday. Please check immediately.,ham
Win a free iPhone now by taping this link! Please check immediately.,spam
Your Amazon order has been shipped. Please check immediately.,ham
Your account has been locked. Verify immediately!,spam
Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
URGENT: You have been chosen for a special offer!,spam
Your account has been locked. Verify immediately! Please check immediately.,spam
URGENT: Your account has been locked. Verify immediately! Please check immediately.,spam
This is not a scam! Tap here to get your reward. Please check immediately.,spam
URGENT: Win a free iPhone now by clicking this link!,spam
URGENT: Final reminder: Team meeting at 4 PM today.,ham
URGENT: You have been chosen for a special offer! Please check immediately.,spam
URGENT: Can we reschedule our call to next week? Please check immediately.,ham
Project update: Deadline extended to next Friday.,ham
URGENT: Client feedback has been shared in the document. Please check immediately.,ham
URGENT: Win a free iPhone now by taping this link!,spam
Lunch meeting scheduled for 1 PM tomorrow.,ham
URGENT: Client feedback has been shared in the document.,ham
Client feedback has been shared in the document.,ham
Let’s finalize the design in tomorrow's review. Please check immediately.,ham
HR: Please submit your timesheets by EOD. Please check immediately.,ham
Exclusive deal for you! Lowest prices ever!,spam
Get cheap medicines without prescription now! Please check immediately.,spam
You have an unread message. Click to view it! Please check immediately.,spam
URGENT: You have been chosen for a special offer! Please check immediately.,spam
"You have won $10,000 in our lottery. Claim now!",spam
Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
URGENT: You have an unread message. Click to view it!,spam
This is not a scam! Tap here to get your reward. Please check immediately.,spam
URGENT: Earn money quickly from home. Click here to learn more! Please check immediately.,spam
"Congratulations, you've been selected for a prize! Please check immediately.",spam
